precip,snofall,snomlt,et,flo_out
3.05,0,0,2.26,0.359
6.43,0,0,1.71,0.332
6.09,0,0,2.06,0.488
0,0,0,1.06,0.477
0.724,0,0,1.23,0.304
0.139,0,0,2,0.289
16.1,0,0,2.41,0.569
2.15,0,0,2.26,0.719
24.9,0,0,1.17,2.358
2.74,0,0,1.32,0.831
17.5,0,0,2.05,0.827
1.88,0,0,1.97,1.214
1.47,0,0,2.21,0.578
0,0,0,2.43,0.487
0,0,0,2.47,0.408
0,0,0,2.11,0.376
0.268,0,0,2.62,0.35
0,0,0,1.85,0.335
0,0,0,0.651,0.322
0,0,0,1.15,0.308
0,0,0,1.74,0.292
0,0,0,1.93,0.28
0,0,0,2.44,0.261
6.84,0,0,2.6,0.255
4.07,0,0,1.08,0.304
1.09,0,0,2,0.257
0.265,0,0,1.3,0.252
0,0,0,3.79,0.229
22.8,0,0,2.88,0.444
2,0,0,1.74,0.534
27.8,0,0,1.33,1.705
3.77,0,0,1.16,1.104
15.7,0,0,1.72,1.106
2.01,0,0,1.2,0.685
8.68,0,0,3.19,0.607
2.72E-02,0,0,2.46,0.614
13.9,0,0,2.04,0.61
1.19,0,0,3.09,0.584
4.58,0,0,2.84,0.437
5.9,0,0,1.54,0.652
7.68,0,0,2.42,0.581
0,0,0,2.64,0.698
0,0,0,2.86,0.413
1.38,0,0,4.11,0.359
11.1,0,0,1.84,0.392
9.53E-03,0,0,1.77,0.615
0,0,0,2.33,0.371
4.48,0,0,2.81,0.332
0,0,0,0.783,0.342
2.35,0,0,0.762,0.329
5.72,0,0,1.7,0.31
7.56,0,0,1.97,0.529
1.16,0,0,2.21,0.42
0,0,0,3.13,0.299
0.545,0,0,2,0.267
6.58,0,0,1.46,0.293
16.4,0,0,0.609,1.241
4.84,0,0,2.92,0.534
6.96,0,0,1.1,0.762
0,0,0,2.81,0.556
9.34E-03,0,0,3.48,0.362
0,0,0,3.39,0.316
2.92,0,0,3.73,0.301
8.82,0,0,1.28,0.499
0.139,0,0,1.4,0.368
0,0,0,2.17,0.305
0.138,0,0,2.15,0.283
0,0,0,2.53,0.265
0,0,0,1.1,0.258
1.90E-04,0,0,1.49,0.243
0,0,0,2.27,0.229
2.71,0,0,1.27,0.232
8.02,0,0,0.685,0.291
11.6,0,0,1.6,0.341
2.16,0,0,1.56,0.279
1.6,0,0,3.34,0.25
25.1,0,0,2.28,1.023
4.35E-02,0,0,1.52,0.732
1.90E-04,0,0,2,0.324
12.2,0,0,1.58,0.492
9.72E-02,0,0,1.51,0.511
0.699,0,0,2.77,0.3
0.837,0,0,3.24,0.26
1.33,0,0,3.2,0.246
0.139,0,0,3.53,0.23
0.139,0,0,3.49,0.22
0,0,0,2.61,0.213
1.90E-04,0,0,1.94,0.209
0,0,0,3.14,0.2
0,0,0,1.88,0.197
0.182,0,0,1.92,0.191
5.2,0,0,0.927,0.213
0.355,0,0,1.77,0.207
5.26E-02,0,0,3.65,0.185
3.08,0,0,1.61,0.186
0.365,0,0,1,0.194
0,0,0,1.97,0.176
4.33E-02,0,0,1.27,0.174
0,0,0,1.42,0.171
5.26E-02,0,0,1.44,0.167
0.502,0,0,2.93,0.162
5.21,0,0,1.44,0.166
17,0,0,1.32,0.473
1.04,0,0,0.833,0.297
19.2,0,0,0.589,0.723
0.668,0,0,0.719,0.702
0,0,0,3.3,0.282
0,0,0,3.26,0.214
0,0,0,3.28,0.189
0.182,0,0,2.56,0.18
1.4,0,0,1.1,0.183
21.4,0,0,0.962,0.201
3.41,0,0,1.02,0.85
2.4,0,0,1.84,0.274
2.86,0,0,0.814,0.48
0.536,0,0,3.34,0.274
1.8,0,0,0.709,0.251
1.94,0,0,2.76,0.282
0,0,0,2.79,0.278
0,0,0,2.8,0.236
26.2,0,0,3.59,0.611
2.5,0,0,1.3,1.327
0,0,0,1.39,0.389
0,0,0,2.37,0.307
0,0,0,2.73,0.274
0,0,0,1.72,0.262
1.08,0,0,2.58,0.27
1.46,0,0,1.95,0.269
0,0,0,1.51,0.248
0,0,0,2.11,0.237
1.90E-04,0,0,2.18,0.228
1.51,0,0,2.4,0.23
3.7,0,0,0.686,0.227
1.96,0,0,0.856,0.287
0,0,0,2.07,0.218
1.90E-04,0,0,2.21,0.199
0,0,0,2.39,0.19
0,0,0,1.35,0.187
0,0,0,0.759,0.183
1.58,0,0,1.39,0.181
1.6,0,0,1.35,0.185
2.86,0,0,2.05,0.191
0.114,0,0,1.15,0.202
13,0,0,0.93,0.23
0,0,0,2.45,0.215
0,0,0,2.52,0.172
0,0,0,1.44,0.157
0,0,0,2.14,0.148
0,0,0,1.96,0.144
0,0,0,1.68,0.144
0,0,0,0.577,0.142
0,0,0,1.09,0.138
0,0,0,1.57,0.135
0,0,0,0.969,0.132
0,0,0,1.22,0.13
0,0,0,1.68,0.127
0,0,0,1.15,0.125
0,0,0,1.81,0.122
0,0,0,1.68,0.12
5.26E-02,0,0,1.55,0.129
0,0,0,0.973,0.13
0,0,0,0.972,0.13
0,0,0,0.807,0.127
0.147,0,0,2.18,0.123
0.218,0,0,2.06,0.121
0.168,0,0,1.7,0.12
9.74,0,0,1.43,0.153
0.138,0,0,1.57,0.135
0.191,0,0,1.53,0.125
0.235,0,0,0.703,0.124
0,0,0,1.25,0.121
0.43,0,0,1.09,0.13
0,0,0,2.44,0.102
0,0,0,2.35,0.096
0.268,0,0,1.19,0.094
34.3,0,0,0.577,0.515
3.11,0,0,1.61,0.332
8.44,0,0,0.499,0.267
2.71,0,0,0.712,0.249
1.01,0,0,0.844,0.175
4.97,0,0,1.03,0.143
16.6,0,0,0.647,0.615
3,0,0,0.875,0.33
1.31,0,0,0.928,0.225
25.1,0,0,0.662,0.831
16.5,0,0,0.509,1.705
7.67,0,0,0.612,1.134
0.789,0,0,1.44,0.496
28.1,0,0,1.08,1.289
4.74,0,0,1.39,1.556
20.4,0,0,1.85,1.545
0.133,0,0,1.45,1.258
6.38,0,0,1.47,0.622
6.71,0,0,0.187,1.178
0.235,0,0,0.244,0.664
2.01,0,0,0.23,0.585
13,0,0,0.443,1.413
20.8,0,0,0.412,2.499
0.909,0,0,1.34,0.992
7.03,0,0,0.897,0.884
22.7,0,0,0.291,2.139
0.615,0,0,1.28,1.898
20.9,0,0,1.07,1.079
21.1,0,0,0.368,6.294
17.2,0,0,0.423,2.112
1.90E-04,0,0,0.867,2.254
21.2,0,0,1.36,1.405
10,0,0,0.847,2.873
27.5,0,0,0.555,3.444
7.5,0,0,0.689,3.637
9.34E-03,0,0,0.416,1.588
0.535,0,0,0.298,1.202
0.368,0,0,0.28,1.026
0.971,0,0,0.669,0.901
18.5,0,0,0.716,1.216
1.95,0,0,0.582,1.868
1.83,0,0,0.691,0.947
4.81,0,0,0.72,0.826
6.44,0,0,0.825,1.039
0,0,0,0.694,0.799
9.99,0,0,0.428,0.911
5.1,0,0,0.748,0.9
22.5,0,0,0.843,1.633
13.2,0,0,0.706,2.861
1.35,0,0,0.171,1.283
15.8,0,0,0.311,2.172
2.06,0,0,1.16,1.519
2.89,0,0,1.14,1.011
15.6,0,0,0.443,1.553
0.493,0,0,0.836,1.45
1.81E-02,0,0,0.519,0.866
0,0,0,0.36,0.77
0,0,0,0.625,0.698
0,0,0,0.617,0.637
0,0,0,0.845,0.574
0.138,0,0,1.05,0.529
4.01,1.23,1.23,1.04,0.493
0.956,5.58E-02,5.58E-02,0.377,0.531
1.81E-02,0,0,0.11,0.463
0.83,0,0,0.314,0.435
0.407,0,0,0.466,0.412
0,0,0,0.28,0.383
0,0,0,0.382,0.355
0,0,0,0.341,0.336
0,0,0,0.576,0.323
0.536,0,0,0.207,0.318
29.6,0,0,0.222,1.763
9.45,0,0,0.189,1.217
12.1,0,0,0.492,1.206
7.72,0,0,0.488,2.015
9.33,0,0,0.27,0.84
8.15,0,0,0.234,1.501
3.61,0,0,0.352,1.476
15.1,0,0,0.595,1.047
26.1,0,0,0.24,4.542
3.08,0,0,0.322,1.535
9.9,0,0,0.466,1.279
0.249,0,0,0.265,1.485
1.61,0,0,0.331,1.019
0.809,0,0,0.533,0.861
0.123,4.56E-02,4.56E-02,0.478,0.753
0,0,0,0.193,0.675
9.34E-03,0,0,0.511,0.608
0,0,0,0.787,0.547
0,0,0,0.541,0.514
0.138,0,0,0.722,0.503
0,0,0,0.498,0.472
0,0,0,7.74E-02,0.437
1.03,0,0,0.757,0.457
0.811,0,0,0.527,0.433
9.3,0,0,0.66,0.518
0,0,0,1.17,0.661
13.9,0,0,0.868,0.459
2.48,0,0,0.905,1.142
9.46,0,0,0.718,0.951
15.1,0,0,0.371,0.791
12.1,0,0,0.578,1.833
4.93,0,0,0.3,1.48
2.91,0,0,0.767,0.921
5.64,0,0,0.65,0.716
10.7,0,0,0.434,1.449
3.21,0,0,0.803,1.264
0.234,0,0,0.306,0.848
3.62,0,0,0.498,0.888
0.761,0,0,1.36,0.707
6.4,0,0,1.52,0.62
0.139,1.19E-02,1.19E-02,1.17,0.697
9.62,7.55,4.32,0.885,0.922
0.343,0,3.07,0.702,0.853
0.771,0,0,0.871,0.625
9.53E-03,0,0,1.15,0.527
1.62,0,0,0.851,0.472
4.09,0,0,0.608,0.458
2.06,0,0,0.393,0.584
2.74,0,0,0.346,0.54
27.7,0,0,0.409,2.531
1.81E-02,0,0,0.702,1.703
14.6,0,0,0.751,1.616
0,0,0,0.329,0.907
0.325,0,0,0.293,0.721
1.81E-02,0,0,0.542,0.658
0,0,0,0.766,0.595
0,0,0,0.994,0.552
0,0,0,0.854,0.521
0,0,0,0.948,0.483
0,0,0,1.42,0.456
0,0,0,1.29,0.434
0,0,0,0.616,0.423
4.33E-02,0,0,0.378,0.399
1.8,0,0,1.06,0.379
6.18E-02,0,0,0.671,0.374
0,0,0,0.88,0.35
1.65,0,0,0.759,0.333
1.47,0,0,0.625,0.331
3.76,0,0,0.332,0.382
15.6,0,0,0.562,0.968
7.38,0,0,0.448,0.714
1.81E-02,0,0,0.926,0.478
11.4,0,0,0.699,0.494
3.25,0,0,0.341,1.116
1.81E-02,0,0,0.954,0.561
0.157,0,0,1.27,0.424
21.5,0,0,0.938,0.891
11.8,0,0,0.611,2.143
7.18,0,0,0.65,1.117
0.343,0,0,1.07,0.753
0.548,0,0,1.22,0.594
0,0,0,1.47,0.521
0,0,0,1.13,0.487
0,0,0,1.49,0.455
0,0,0,1.47,0.428
0,0,0,1.42,0.408
0,0,0,1.48,0.376
0,0,0,1.2,0.357
0,0,0,1.13,0.343
0,0,0,0.701,0.335
0,0,0,1.03,0.322
0,0,0,1.33,0.306
0,0,0,1.75,0.292
0,0,0,1.4,0.285
0,0,0,0.604,0.278
0,0,0,1.23,0.267
0,0,0,1.69,0.256
0,0,0,1.74,0.245
0.138,0,0,1.42,0.235
0,0,0,1.39,0.229
9.21,0,0,1.42,0.236
1.54,0,0,1.23,0.316
1,0,0,1.42,0.237
0.138,0,0,1.02,0.235
0,0,0,0.788,0.22
1.81E-02,0,0,1.39,0.209
0,0,0,1.55,0.203
0,0,0,1.79,0.197
0,0,0,1.95,0.19
0,0,0,1.87,0.186
0,0,0,1.79,0.182
0,0,0,1.6,0.182
0,0,0,1.45,0.175
2.66,0,0,2.53,0.176
0,0,0,2.2,0.172
0,0,0,2.72,0.164
0,0,0,3.22,0.158
0,0,0,3.84,0.15
0,0,0,3.54,0.146
0,0,0,2.65,0.143
1.35,0,0,2.14,0.142
3.4,0,0,1.66,0.159
0,0,0,1.92,0.147
0,0,0,2.47,0.14
10.9,0,0,1.21,0.157
1.94,0,0,0.876,0.193
9.6,0,0,1.61,0.192
35.8,0,0,2.4,0.823
2.93,0,0,0.915,1.266
12.7,0,0,1.87,0.68
0.315,0,0,2.22,0.471
5.8,0,0,1.7,0.275
12.3,0,0,0.587,0.855
28.7,0,0,1.31,2.234
9.26,0,0,1.95,1.169
0.203,0,0,2.2,0.715
0.369,0,0,1.99,0.423
1.94,0,0,1.14,0.4
0,0,0,2.85,0.348
1.79,0,0,2.24,0.318
0,0,0,2.63,0.29
2.5,0,0,1.62,0.286
0.537,0,0,2.7,0.267
0.277,0,0,2.31,0.253
0,0,0,2.69,0.235
28.1,0,0,2.84,0.453
2.67,0,0,0.837,1.08
13.4,0,0,0.866,1.479
0.631,0,0,2.41,0.532
10.6,0,0,1.94,0.487
4.74,0,0,0.92,0.813
27,0,0,0.748,1.4
2.14,0,0,0.625,2.162
1.32,0,0,2.03,0.718
0.398,0,0,2.51,0.569
0,0,0,2.04,0.492
4.19,0,0,1.77,0.473
9.34E-03,0,0,0.708,0.491
0.139,0,0,1.88,0.421
9.34E-03,0,0,2.14,0.375
0,0,0,3.68,0.337
0,0,0,1.71,0.326
9.09,0,0,3.3,0.387
0.277,0,0,2.93,0.355
