jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
183,7,2,2002,2.16,0,0,1.56,1.66,0.461,2.94,14.5,7.92,11.2,10.6,0.421
184,7,3,2002,1.6,0,0,3.34,3.47,0.453,2.93,15.4,8.81,12.1,28,0.425
185,7,4,2002,25.1,0,0,2.28,2.4,0.537,2.93,14.9,8.28,11.6,14.4,0.428
186,7,5,2002,4.35E-02,0,0,1.52,1.77,0.52,2.93,16,9.43,12.7,12.7,0.431
187,7,6,2002,1.90E-04,0,0,2,2.37,0.508,2.94,15.4,8.83,12.1,15.4,0.435
188,7,7,2002,12.2,0,0,1.58,1.7,0.534,2.94,16.2,9.56,12.9,10.3,0.438
189,7,8,2002,9.72E-02,0,0,1.51,1.72,0.521,2.95,16.1,9.49,12.8,7.55,0.442
190,7,9,2002,0.699,0,0,2.77,3.02,0.509,2.95,15.1,8.55,11.8,20.8,0.445
191,7,10,2002,0.837,0,0,3.24,3.46,0.496,2.95,15.5,8.86,12.2,27.9,0.449
192,7,11,2002,1.33,0,0,3.2,3.45,0.483,2.95,15.9,9.31,12.6,27.3,0.452
193,7,12,2002,0.139,0,0,3.53,4.12,0.47,2.95,15.7,9.11,12.4,29.4,0.456
194,7,13,2002,0.139,0,0,3.49,4.09,0.455,2.96,16.7,10.1,13.4,28,0.46
195,7,14,2002,0,0,0,2.61,3.13,0.44,2.97,17.3,10.7,14,19.3,0.464
196,7,15,2002,1.90E-04,0,0,1.94,2.34,0.427,2.99,18.6,12,15.3,16.5,0.468
197,7,16,2002,0,0,0,3.14,3.78,0.416,3.02,17.8,11.2,14.5,25.7,0.472
198,7,17,2002,0,0,0,1.88,2.23,0.403,3.04,16.6,10,13.3,12.6,0.476
199,7,18,2002,0.182,0,0,1.92,2.24,0.392,3.04,17.3,10.7,14,13.4,0.48
200,7,19,2002,5.2,0,0,0.927,1.01,0.389,3.06,17.7,11.1,14.4,6.57,0.484
201,7,20,2002,0.355,0,0,1.77,1.83,0.383,3.07,16.3,9.65,13,13.2,0.487
202,7,21,2002,5.26E-02,0,0,3.65,4.08,0.375,3.07,17,10.4,13.7,27.2,0.491
203,7,22,2002,3.08,0,0,1.61,1.66,0.366,3.07,17.1,10.5,13.8,9.29,0.495
204,7,23,2002,0.365,0,0,1,0.993,0.36,3.08,18.2,11.6,14.9,4.3,0.499
205,7,24,2002,0,0,0,1.97,2.21,0.354,3.09,16,9.42,12.7,11.3,0.503
206,7,25,2002,4.33E-02,0,0,1.27,1.4,0.346,3.08,17.7,11.1,14.4,8.84,0.507
207,7,26,2002,0,0,0,1.42,1.59,0.339,3.08,17.8,11.2,14.5,9.09,0.511
208,7,27,2002,5.26E-02,0,0,1.44,1.6,0.333,3.08,18,11.4,14.7,7.65,0.515
209,7,28,2002,0.502,0,0,2.93,3.07,0.326,3.08,19.2,12.6,15.9,18.8,0.52
210,7,29,2002,5.21,0,0,1.44,1.5,0.324,3.08,20.4,13.8,17.1,9.24,0.524
211,7,30,2002,17,0,0,1.32,1.37,0.356,3.09,18.5,11.9,15.2,9.51,0.529
212,7,31,2002,1.04,0,0,0.833,0.868,0.352,3.09,17.8,11.2,14.5,5.69,0.533
213,8,1,2002,19.2,0,0,0.589,0.599,0.406,3.09,19,11.7,15.4,3.44,0.537
214,8,2,2002,0.668,0,0,0.719,0.743,0.401,3.09,17.9,10.6,14.2,4.51,0.541
215,8,3,2002,0,0,0,3.3,3.67,0.395,3.08,18.4,11.1,14.8,25.4,0.545
216,8,4,2002,0,0,0,3.26,3.67,0.384,3.08,19,11.7,15.4,24.8,0.549
217,8,5,2002,0,0,0,3.28,3.71,0.372,3.08,20.1,12.8,16.5,23.6,0.554
218,8,6,2002,0.182,0,0,2.56,2.91,0.36,3.08,19.4,12.1,15.7,18.2,0.559
219,8,7,2002,1.4,0,0,1.1,1.17,0.351,3.07,19.1,11.8,15.5,6.02,0.563
220,8,8,2002,21.4,0,0,0.962,1.01,0.407,3.07,16.4,9.09,12.7,4.85,0.567
221,8,9,2002,3.41,0,0,1.02,1.07,0.412,3.06,16.4,9.07,12.7,6.58,0.57
222,8,10,2002,2.4,0,0,1.84,1.87,0.411,3.06,17,9.66,13.3,10.8,0.574
223,8,11,2002,2.86,0,0,0.814,0.857,0.411,3.05,17.2,9.86,13.5,2.58,0.578
224,8,12,2002,0.536,0,0,3.34,3.56,0.404,3.04,18.2,10.9,14.5,23.3,0.582
225,8,13,2002,1.8,0,0,0.709,0.745,0.395,3.04,19.5,12.2,15.9,4.4,0.586
226,8,14,2002,1.94,0,0,2.76,2.79,0.392,3.03,19.5,12.2,15.9,16.7,0.591
227,8,15,2002,0,0,0,2.79,3.19,0.383,3.03,17.9,10.6,14.3,20,0.595
228,8,16,2002,0,0,0,2.8,3.22,0.373,3.02,17.1,9.81,13.5,22.1,0.598
229,8,17,2002,26.2,0,0,3.59,3.65,0.45,3.02,20,12.7,16.4,19.1,0.603
230,8,18,2002,2.5,0,0,1.3,1.37,0.441,3.01,17.5,10.2,13.9,8.71,0.607
231,8,19,2002,0,0,0,1.39,1.59,0.434,3.01,17.1,9.82,13.5,9.14,0.611
232,8,20,2002,0,0,0,2.37,2.72,0.424,3,17.8,10.5,14.1,16.8,0.615
233,8,21,2002,0,0,0,2.73,3.17,0.412,3,17.2,9.87,13.5,21.8,0.619
234,8,22,2002,0,0,0,1.72,2,0.401,2.99,17.9,10.6,14.2,13.5,0.623
235,8,23,2002,1.08,0,0,2.58,2.72,0.391,2.99,18.5,11.2,14.9,20.1,0.627
236,8,24,2002,1.46,0,0,1.95,2.04,0.382,2.98,17.8,10.5,14.1,14.7,0.631
237,8,25,2002,0,0,0,1.51,1.76,0.375,2.98,18.1,10.8,14.5,10.1,0.635
238,8,26,2002,0,0,0,2.11,2.46,0.366,2.97,18,10.7,14.3,17.3,0.639
239,8,27,2002,1.90E-04,0,0,2.18,2.56,0.357,2.97,18.1,10.8,14.5,18.3,0.643
240,8,28,2002,1.51,0,0,2.4,2.57,0.348,2.96,19,11.7,15.4,18,0.647
241,8,29,2002,3.7,0,0,0.686,0.747,0.345,2.95,19.6,12.3,16,3.98,0.652
242,8,30,2002,1.96,0,0,0.856,0.949,0.343,2.94,19,11.7,15.4,2.01,0.656
243,8,31,2002,0,0,0,2.07,2.44,0.339,2.94,16.2,8.91,12.6,10.9,0.66
244,9,1,2002,1.90E-04,0,0,2.21,2.62,0.331,2.93,15.1,7.49,11.3,19.6,0.663
245,9,2,2002,0,0,0,2.39,2.84,0.324,2.93,16.6,8.99,12.8,19.2,0.666
246,9,3,2002,0,0,0,1.35,1.61,0.316,2.92,18.9,11.3,15.1,8.95,0.671
247,9,4,2002,0,0,0,0.759,0.916,0.311,2.91,18.9,11.3,15.1,6.2,0.675
248,9,5,2002,1.58,0,0,1.39,1.54,0.307,2.91,17.4,9.78,13.6,7.72,0.679
249,9,6,2002,1.6,0,0,1.35,1.48,0.303,2.9,16.5,8.94,12.7,4.44,0.682
250,9,7,2002,2.86,0,0,2.05,2.22,0.302,2.89,15.8,8.21,12,13.2,0.686
251,9,8,2002,0.114,0,0,1.15,1.34,0.297,2.89,15.4,7.83,11.6,8.45,0.689
252,9,9,2002,13,0,0,0.93,1.06,0.32,2.88,15.3,7.67,11.5,6.93,0.692
253,9,10,2002,0,0,0,2.45,2.96,0.316,2.88,17.2,9.57,13.4,17.6,0.696
254,9,11,2002,0,0,0,2.52,3.06,0.309,2.87,18.2,10.6,14.4,17.1,0.7
255,9,12,2002,0,0,0,1.44,1.76,0.302,2.87,20.2,12.6,16.4,7.38,0.705
256,9,13,2002,0,0,0,2.14,2.62,0.296,2.86,20,12.4,16.2,15,0.709
